,id,date,from_id,to_id,fwd_from,message,type,duration
0,154353,2021-07-04 08:16:45+00:00,PeerUser(user_id=511986933),347963763,,Спасибо!!!,text,
1,154352,2021-07-04 08:16:39+00:00,,511986933,,Наверно в понедельник скинут,text,
2,154351,2021-07-04 08:16:28+00:00,,511986933,,"Да, жду сейчас новый билд с подключенным ядром :)",text,
3,154350,2021-07-04 08:16:16+00:00,PeerUser(user_id=511986933),347963763,,Круто было бы когда у никого еще нет,text,
4,154349,2021-07-04 08:15:59+00:00,PeerUser(user_id=511986933),347963763,,Кинеш мне попробовать,text,
5,154348,2021-07-04 08:15:51+00:00,PeerUser(user_id=511986933),347963763,,Прикольно),text,
6,154346,2021-07-04 07:02:14+00:00,,511986933,,"Привет)
Пока нет. Занимался подготовкой ядра для моб. приложений. Хотим в понедельник выйти в закрытое тестирование :)",text,
7,154345,2021-07-04 06:24:47+00:00,PeerUser(user_id=511986933),347963763,,Привет Назар! Ну что ты код на гитхаб организацию закидал ?),text,
8,154049,2021-06-28 19:30:20+00:00,,511986933,,"Привет, прикольно)
Мы поддерживаем связь с людьми из Amazon AWS.
Пока они дали $13k кредитов, но может что-то будет в будущем еще :)",text,
9,154044,2021-06-28 19:05:58+00:00,PeerUser(user_id=511986933),347963763,,А как там дела с Амазоном ? Они и вправду хотять больше что-то от проэкта нежели просто спонсировать на клаудах ?,text,
10,154043,2021-06-28 19:05:02+00:00,PeerUser(user_id=511986933),347963763,,Она в линктине в топах по рекомендации)),text,
11,154042,2021-06-28 19:04:39+00:00,PeerUser(user_id=511986933),347963763,,Привет Назар! Очень крутая статья) https://dev.ua/news/ahov-reface-podvynsia-18-richnii-kpishnik-prydumav-dodatok-dlia-pidbyrannia-muzyky-i-video-v-noho-vzhe-investuvav-amazon?fbclid=IwAR3W05_ABHCDlK11o7ZQRE4qEmI6jhmomuc-Yj5W3GAdYrZ-yhRQEZDNbYA,photo,
12,153221,2021-06-19 21:07:19+00:00,,511986933,,ага 😂,text,
13,153214,2021-06-19 20:00:11+00:00,PeerUser(user_id=511986933),347963763,,так бы в церкви пели то намного больше людей ходило бы,text,
14,153213,2021-06-19 19:59:46+00:00,PeerUser(user_id=511986933),347963763,,прикольно очень получилось !!!,text,
15,153212,2021-06-19 19:57:44+00:00,,511986933,"MessageFwdHeader(date=datetime.datetime(2021, 5, 24, 18, 21, 56, tzinfo=datetime.timezone.utc), imported=False, from_id=PeerUser(user_id=347963763), from_name=None, channel_post=None, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)",https://www.youtube.com/watch?v=sbBq2aQUw_g,photo,
16,153203,2021-06-19 19:15:51+00:00,PeerUser(user_id=511986933),347963763,,https://gobyexample.com/,text,
17,153202,2021-06-19 19:13:15+00:00,PeerUser(user_id=511986933),347963763,,"- Azure, GSP, AWS
-  Apache Kafka
- Spark — pyspark
- Databrick Big Data, Learning Spark
- Cassandra",text,
18,153201,2021-06-19 18:42:03+00:00,PeerUser(user_id=511986933),347963763,,,text,
19,153138,2021-06-19 08:01:42+00:00,PeerUser(user_id=511986933),347963763,,отлично),text,
20,153135,2021-06-19 07:12:49+00:00,,511986933,,"Да, можно и на 9:30 :)",text,
21,153134,2021-06-19 07:12:00+00:00,PeerUser(user_id=511986933),347963763,,"Привет, Назар! А у тебя случайно на 21.30 не получиться ? Просто мне немноговстречу также перенесли(",text,
22,153130,2021-06-18 22:43:00+00:00,PeerUser(user_id=511986933),347963763,,"Вижу, спасибо)",text,
23,153129,2021-06-18 21:00:32+00:00,,511986933,,"Да, давай в 21:00 :)
Я выслал инвайт)",text,
24,153125,2021-06-18 20:50:58+00:00,PeerUser(user_id=511986933),347963763,,Буду ждать,text,
25,153124,2021-06-18 20:50:54+00:00,PeerUser(user_id=511986933),347963763,,Окей,text,
26,153091,2021-06-18 14:42:16+00:00,,511986933,,Скоро отпишу по поводу завтра,text,
27,153090,2021-06-18 14:42:00+00:00,PeerUser(user_id=511986933),347963763,,большое спасибо!!!,text,
28,153089,2021-06-18 14:41:37+00:00,,511986933,,Супер! Поздравляю)),text,
29,153088,2021-06-18 14:37:35+00:00,PeerUser(user_id=511986933),347963763,,У тебя завтра где-то на 21.00 подучиться созвониться ? Обсудим как лучше мне тебе проект с хармиксом передать ну и так поговорим просто)),text,
30,153087,2021-06-18 14:36:39+00:00,PeerUser(user_id=511986933),347963763,,Ажур это просто прекрасный клауд. Там так все легко и хорошо задокументировано что я аж удивился как они за год выросли),text,
31,153086,2021-06-18 14:36:06+00:00,PeerUser(user_id=511986933),347963763,,Большое спасибо за твою помощь! Во время подготовки к интервью я реально много нового узнал и от тебя ну и курсы проходил по спарку и ажуру,text,
32,153085,2021-06-18 14:35:11+00:00,PeerUser(user_id=511986933),347963763,,И я принял его сегодня)),text,
33,153084,2021-06-18 14:35:03+00:00,PeerUser(user_id=511986933),347963763,,Привет Назар! Ну что мне сделали оффер),text,
34,152859,2021-06-16 13:28:38+00:00,,511986933,,Спасибо),text,
35,152858,2021-06-16 13:28:23+00:00,PeerUser(user_id=511986933),347963763,,может быть интересным,text,
36,152857,2021-06-16 13:28:11+00:00,PeerUser(user_id=511986933),347963763,"MessageFwdHeader(date=datetime.datetime(2021, 6, 14, 12, 13, 31, tzinfo=datetime.timezone.utc), imported=False, from_id=PeerUser(user_id=511986933), from_name=None, channel_post=None, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)",Він реально 15 баксів на юдемі коштує),text,
37,152856,2021-06-16 13:28:11+00:00,PeerUser(user_id=511986933),347963763,"MessageFwdHeader(date=datetime.datetime(2021, 6, 14, 12, 13, 19, tzinfo=datetime.timezone.utc), imported=False, from_id=PeerUser(user_id=511986933), from_name=None, channel_post=None, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)",Ти до речі зверни увагу на цей курс,text,
38,152855,2021-06-16 13:28:11+00:00,PeerUser(user_id=511986933),347963763,"MessageFwdHeader(date=datetime.datetime(2021, 6, 13, 22, 20, 37, tzinfo=datetime.timezone.utc), imported=False, from_id=PeerUser(user_id=511986933), from_name=None, channel_post=None, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)",має бути щось норм,text,
39,152854,2021-06-16 13:28:11+00:00,PeerUser(user_id=511986933),347963763,"MessageFwdHeader(date=datetime.datetime(2021, 6, 13, 22, 20, 31, tzinfo=datetime.timezone.utc), imported=False, from_id=PeerUser(user_id=511986933), from_name=None, channel_post=None, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)",в оригіналі ось він — https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on/,photo,
40,152853,2021-06-16 13:28:11+00:00,PeerUser(user_id=511986933),347963763,"MessageFwdHeader(date=datetime.datetime(2021, 6, 13, 22, 20, 23, tzinfo=datetime.timezone.utc), imported=False, from_id=PeerUser(user_id=511986933), from_name=None, channel_post=None, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)",вроді якийсь злитий курс по спарку та пайтону знайшов,text,
41,152852,2021-06-16 13:28:11+00:00,PeerUser(user_id=511986933),347963763,"MessageFwdHeader(date=datetime.datetime(2021, 6, 13, 22, 20, 6, tzinfo=datetime.timezone.utc), imported=False, from_id=PeerUser(user_id=511986933), from_name=None, channel_post=None, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)",https://freecoursesite.com/taming-big-data-with-apache-spark-and-python-hands-on-3/,text,
42,152851,2021-06-16 13:27:52+00:00,PeerUser(user_id=511986933),347963763,,Spark,text,
43,152850,2021-06-16 13:27:37+00:00,,511986933,,А что ты по big data проходил?,text,
44,152849,2021-06-16 13:27:08+00:00,,511986933,,"Ааа, а я на back end подавал...",text,
45,152848,2021-06-16 13:19:34+00:00,PeerUser(user_id=511986933),347963763,,Big Data,text,
46,152841,2021-06-16 12:56:53+00:00,,511986933,,"круто!)
спасибо)
а ты подал заявку на backend или big data developer?",text,
